NAMESHORT_SB;NAME_SB;URL_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PERCENT_CHANGE;BUY_MEDIAN_FAILED_PERCENT_CHANGE;BUY_AVERAGE_SUCCESS_PERCENT_CHANGE;BUY_MEDIAN_SUCCESS_PERCENT_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;HIGHEST_THROUGH_CURRENT_PERCENT_CHANGE;HISTORY_SIGNAL_PRICE
43464.ST;STOCKWIK FORVALTNING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43464.ST;0.0484;58.8;236;56.0;188;37.3;74;50.7;166;25;32.0;8.16;4.77;-4.94;-4.67;24.49;2.78;-2.2;4.57;1.51;[{'date': '16.04.2018', 'price': '0.0478', 'signal': 'BUY'}, {'date': '05.04.2018', 'price': '0.0470', 'signal': 'SHORT'}, {'date': '03.04.2018', 'price': '0.0482', 'signal': 'BUY'}, {'date': '22.03.2018', 'price': '0.0491', 'signal': 'SHORT'}, {'date': '20.03.2018', 'price': '0.0458', 'signal': 'BUY'}, {'date': '12.03.2018', 'price': '0.0486', 'signal': 'SHORT'}, {'date': '28.02.2018', 'price': '0.0532', 'signal': 'BUY'}, {'date': '12.02.2018', 'price': '0.0638', 'signal': 'SELL'}, {'date': '07.02.2018', 'price': '0.0512', 'signal': 'BUY'}, {'date': '01.02.2018', 'price': '0.0660', 'signal': 'SELL'}, {'date': '29.01.2018', 'price': '0.0690', 'signal': 'BUY'}, {'date': '24.01.2018', 'price': '0.0721', 'signal': 'SELL'}, {'date': '22.01.2018', 'price': '0.0710', 'signal': 'BUY'}, {'date': '18.01.2018', 'price': '0.0698', 'signal': 'SELL'}, {'date': '05.01.2018', 'price': '0.0302', 'signal': 'BUY'}, {'date': '13.12.2017', 'price': '0.0290', 'signal': 'SHORT'}, {'date': '04.12.2017', 'price': '0.0320', 'signal': 'BUY'}, {'date': '31.10.2017', 'price': '0.0350', 'signal': 'SELL'}, {'date': '04.10.2017', 'price': '0.0350', 'signal': 'BUY'}, {'date': '06.09.2017', 'price': '0.0320', 'signal': 'SHORT'}, {'date': '21.08.2017', 'price': '0.0350', 'signal': 'BUY'}, {'date': '05.06.2017', 'price': '0.0370', 'signal': 'SELL'}, {'date': '10.05.2017', 'price': '0.0360', 'signal': 'BUY'}, {'date': '28.04.2017', 'price': '0.0380', 'signal': 'SELL'}, {'date': '25.04.2017', 'price': '0.0400', 'signal': 'BUY'}, {'date': '30.03.2017', 'price': '0.0380', 'signal': 'SHORT'}, {'date': '14.03.2017', 'price': '0.0390', 'signal': 'BUY'}, {'date': '30.01.2017', 'price': '0.0440', 'signal': 'SELL'}, {'date': '22.12.2016', 'price': '0.0430', 'signal': 'BUY'}, {'date': '15.12.2016', 'price': '0.0400', 'signal': 'SHORT'}, {'date': '13.12.2016', 'price': '0.0430', 'signal': 'BUY'}, {'date': '05.12.2016', 'price': '0.0430', 'signal': 'SHORT'}, {'date': '24.11.2016', 'price': '0.0460', 'signal': 'BUY'}, {'date': '18.11.2016', 'price': '0.0440', 'signal': 'SHORT'}, {'date': '07.11.2016', 'price': '0.0470', 'signal': 'BUY'}, {'date': '01.11.2016', 'price': '0.0460', 'signal': 'SHORT'}, {'date': '27.10.2016', 'price': '0.0500', 'signal': 'BUY'}, {'date': '05.10.2016', 'price': '0.0510', 'signal': 'SHORT'}, {'date': '03.10.2016', 'price': '0.0530', 'signal': 'BUY'}, {'date': '06.09.2016', 'price': '0.0570', 'signal': 'SELL'}, {'date': '18.08.2016', 'price': '0.0570', 'signal': 'BUY'}, {'date': '11.08.2016', 'price': '0.0560', 'signal': 'SELL'}, {'date': '21.07.2016', 'price': '0.0550', 'signal': 'BUY'}, {'date': '18.07.2016', 'price': '0.0530', 'signal': 'SHORT'}, {'date': '12.07.2016', 'price': '0.0550', 'signal': 'BUY'}, {'date': '05.07.2016', 'price': '0.0520', 'signal': 'SHORT'}, {'date': '29.06.2016', 'price': '0.0560', 'signal': 'BUY'}, {'date': '17.06.2016', 'price': '0.0560', 'signal': 'SELL'}, {'date': '09.06.2016', 'price': '0.0570', 'signal': 'BUY'}, {'date': '24.05.2016', 'price': '0.0520', 'signal': 'SHORT'}, {'date': '19.05.2016', 'price': '0.0540', 'signal': 'BUY'}]
43720.ST;MYCRONIC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43720.ST;111.3;63.2;123;65.6;153;64.2;271;64.3;182;33;63.6;5.06;2.05;-1.92;-1.98;8.41;2.6;0.86;4.58;1.03;[{'date': '19.04.2018', 'price': '108.9500', 'signal': 'BUY'}, {'date': '17.04.2018', 'price': '109.2000', 'signal': 'SELL'}, {'date': '13.04.2018', 'price': '108.3000', 'signal': 'BUY'}, {'date': '04.04.2018', 'price': '106.3500', 'signal': 'SELL'}, {'date': '28.03.2018', 'price': '106.4000', 'signal': 'BUY'}, {'date': '19.03.2018', 'price': '107.8000', 'signal': 'SELL'}, {'date': '15.03.2018', 'price': '109.0000', 'signal': 'BUY'}, {'date': '13.03.2018', 'price': '109.1000', 'signal': 'SELL'}, {'date': '08.02.2018', 'price': '97.3500', 'signal': 'BUY'}, {'date': '05.02.2018', 'price': '88.6500', 'signal': 'SELL'}, {'date': '30.01.2018', 'price': '90.2000', 'signal': 'BUY'}, {'date': '10.01.2018', 'price': '88.2500', 'signal': 'SELL'}, {'date': '02.01.2018', 'price': '87.1000', 'signal': 'BUY'}, {'date': '14.12.2017', 'price': '91.6250', 'signal': 'SELL'}, {'date': '06.12.2017', 'price': '86.7500', 'signal': 'BUY'}, {'date': '23.11.2017', 'price': '88.7500', 'signal': 'SHORT'}, {'date': '16.11.2017', 'price': '91.7500', 'signal': 'BUY'}, {'date': '31.10.2017', 'price': '100.2500', 'signal': 'SHORT'}, {'date': '26.10.2017', 'price': '99.0000', 'signal': 'BUY'}, {'date': '11.10.2017', 'price': '112.2500', 'signal': 'SELL'}, {'date': '11.09.2017', 'price': '85.5000', 'signal': 'BUY'}, {'date': '04.09.2017', 'price': '74.6250', 'signal': 'SHORT'}, {'date': '31.08.2017', 'price': '73.7500', 'signal': 'BUY'}, {'date': '26.07.2017', 'price': '87.7500', 'signal': 'SELL'}, {'date': '13.07.2017', 'price': '77.7500', 'signal': 'BUY'}, {'date': '29.06.2017', 'price': '79.0000', 'signal': 'SHORT'}, {'date': '19.06.2017', 'price': '79.5000', 'signal': 'BUY'}, {'date': '29.05.2017', 'price': '90.0000', 'signal': 'SELL'}, {'date': '16.05.2017', 'price': '88.2500', 'signal': 'BUY'}, {'date': '05.05.2017', 'price': '86.5000', 'signal': 'SHORT'}, {'date': '02.05.2017', 'price': '88.2500', 'signal': 'BUY'}, {'date': '24.04.2017', 'price': '89.2500', 'signal': 'SHORT'}, {'date': '20.04.2017', 'price': '93.5000', 'signal': 'BUY'}, {'date': '12.04.2017', 'price': '90.7500', 'signal': 'SHORT'}, {'date': '10.04.2017', 'price': '90.7500', 'signal': 'BUY'}, {'date': '03.04.2017', 'price': '90.7500', 'signal': 'SHORT'}, {'date': '24.03.2017', 'price': '90.3750', 'signal': 'BUY'}, {'date': '22.03.2017', 'price': '90.7500', 'signal': 'SHORT'}, {'date': '20.03.2017', 'price': '93.7500', 'signal': 'BUY'}, {'date': '14.03.2017', 'price': '94.0000', 'signal': 'SHORT'}, {'date': '10.03.2017', 'price': '96.0000', 'signal': 'BUY'}, {'date': '06.03.2017', 'price': '96.5000', 'signal': 'SHORT'}, {'date': '02.03.2017', 'price': '99.7500', 'signal': 'BUY'}, {'date': '22.02.2017', 'price': '106.7500', 'signal': 'SELL'}, {'date': '06.02.2017', 'price': '105.0000', 'signal': 'BUY'}, {'date': '30.01.2017', 'price': '102.6250', 'signal': 'SELL'}, {'date': '24.01.2017', 'price': '102.5000', 'signal': 'BUY'}, {'date': '17.01.2017', 'price': '101.5000', 'signal': 'SELL'}, {'date': '10.01.2017', 'price': '100.0000', 'signal': 'BUY'}, {'date': '30.12.2016', 'price': '98.7500', 'signal': 'SELL'}, {'date': '09.12.2016', 'price': '94.5000', 'signal': 'BUY'}, {'date': '25.11.2016', 'price': '96.2500', 'signal': 'SELL'}, {'date': '16.11.2016', 'price': '93.2500', 'signal': 'BUY'}, {'date': '19.10.2016', 'price': '108.7500', 'signal': 'SELL'}, {'date': '17.10.2016', 'price': '109.3750', 'signal': 'BUY'}, {'date': '12.10.2016', 'price': '110.0000', 'signal': 'SELL'}, {'date': '12.09.2016', 'price': '101.7500', 'signal': 'BUY'}, {'date': '30.08.2016', 'price': '102.0000', 'signal': 'SELL'}, {'date': '24.08.2016', 'price': '97.5000', 'signal': 'BUY'}, {'date': '03.08.2016', 'price': '102.0000', 'signal': 'SELL'}, {'date': '20.06.2016', 'price': '60.2500', 'signal': 'BUY'}, {'date': '02.06.2016', 'price': '64.5000', 'signal': 'SELL'}, {'date': '25.05.2016', 'price': '61.5000', 'signal': 'BUY'}, {'date': '19.05.2016', 'price': '59.5000', 'signal': 'SHORT'}, {'date': '16.05.2016', 'price': '58.6250', 'signal': 'BUY'}, {'date': '04.05.2016', 'price': '61.2500', 'signal': 'SHORT'}, {'date': '27.04.2016', 'price': '62.8750', 'signal': 'BUY'}]
43825.ST;I.A.R SYSTEMS GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST;249.0;63.6;136;64.0;154;64.4;216;64.0;168;29;65.5;2.89;1.77;-1.32;-0.56;4.69;4.36;2.59;2.54;1.03;[{'date': '17.04.2018', 'price': '237.7500', 'signal': 'BUY'}, {'date': '11.04.2018', 'price': '245.5000', 'signal': 'SELL'}, {'date': '27.03.2018', 'price': '224.0000', 'signal': 'BUY'}, {'date': '23.03.2018', 'price': '223.5000', 'signal': 'SELL'}, {'date': '27.02.2018', 'price': '207.4000', 'signal': 'BUY'}, {'date': '05.02.2018', 'price': '207.0000', 'signal': 'SELL'}, {'date': '19.12.2017', 'price': '181.0000', 'signal': 'BUY'}, {'date': '07.12.2017', 'price': '177.7500', 'signal': 'SELL'}, {'date': '20.11.2017', 'price': '166.5000', 'signal': 'BUY'}, {'date': '10.11.2017', 'price': '169.5000', 'signal': 'SHORT'}, {'date': '02.11.2017', 'price': '178.5000', 'signal': 'BUY'}, {'date': '11.10.2017', 'price': '181.5000', 'signal': 'SELL'}, {'date': '22.09.2017', 'price': '170.0000', 'signal': 'BUY'}, {'date': '17.08.2017', 'price': '174.0000', 'signal': 'SHORT'}, {'date': '15.08.2017', 'price': '175.0000', 'signal': 'BUY'}, {'date': '10.08.2017', 'price': '176.5000', 'signal': 'SELL'}, {'date': '07.08.2017', 'price': '176.7500', 'signal': 'BUY'}, {'date': '24.07.2017', 'price': '179.5000', 'signal': 'SELL'}, {'date': '07.07.2017', 'price': '172.0000', 'signal': 'BUY'}, {'date': '26.06.2017', 'price': '182.5000', 'signal': 'SHORT'}, {'date': '14.06.2017', 'price': '183.5000', 'signal': 'BUY'}, {'date': '09.06.2017', 'price': '184.5000', 'signal': 'SHORT'}, {'date': '07.06.2017', 'price': '187.0000', 'signal': 'BUY'}, {'date': '22.05.2017', 'price': '192.0000', 'signal': 'SHORT'}, {'date': '05.05.2017', 'price': '199.0000', 'signal': 'BUY'}, {'date': '28.04.2017', 'price': '200.5000', 'signal': 'SELL'}, {'date': '05.04.2017', 'price': '198.7500', 'signal': 'BUY'}, {'date': '10.03.2017', 'price': '205.0000', 'signal': 'SELL'}, {'date': '08.03.2017', 'price': '204.5000', 'signal': 'BUY'}, {'date': '24.02.2017', 'price': '201.5000', 'signal': 'SELL'}, {'date': '17.02.2017', 'price': '201.5000', 'signal': 'BUY'}, {'date': '15.02.2017', 'price': '200.0000', 'signal': 'SELL'}, {'date': '10.02.2017', 'price': '194.5000', 'signal': 'BUY'}, {'date': '01.02.2017', 'price': '194.0000', 'signal': 'SHORT'}, {'date': '27.01.2017', 'price': '194.0000', 'signal': 'BUY'}, {'date': '09.01.2017', 'price': '206.0000', 'signal': 'SELL'}, {'date': '14.12.2016', 'price': '191.7500', 'signal': 'BUY'}, {'date': '07.12.2016', 'price': '197.0000', 'signal': 'SELL'}, {'date': '17.11.2016', 'price': '190.0000', 'signal': 'BUY'}, {'date': '11.11.2016', 'price': '186.5000', 'signal': 'SELL'}, {'date': '28.10.2016', 'price': '187.0000', 'signal': 'BUY'}, {'date': '26.10.2016', 'price': '183.7500', 'signal': 'SHORT'}, {'date': '21.10.2016', 'price': '187.0000', 'signal': 'BUY'}, {'date': '11.10.2016', 'price': '188.2500', 'signal': 'SELL'}, {'date': '28.09.2016', 'price': '186.5000', 'signal': 'BUY'}, {'date': '26.09.2016', 'price': '184.2500', 'signal': 'SELL'}, {'date': '21.09.2016', 'price': '173.5000', 'signal': 'BUY'}, {'date': '13.09.2016', 'price': '170.5000', 'signal': 'SELL'}, {'date': '02.09.2016', 'price': '163.0000', 'signal': 'BUY'}, {'date': '09.08.2016', 'price': '166.0000', 'signal': 'SELL'}, {'date': '08.07.2016', 'price': '157.5000', 'signal': 'BUY'}, {'date': '01.07.2016', 'price': '158.0000', 'signal': 'SHORT'}, {'date': '17.06.2016', 'price': '153.2500', 'signal': 'BUY'}, {'date': '30.05.2016', 'price': '171.0000', 'signal': 'SELL'}, {'date': '24.05.2016', 'price': '170.5000', 'signal': 'BUY'}, {'date': '20.05.2016', 'price': '168.5000', 'signal': 'SHORT'}, {'date': '17.05.2016', 'price': '164.0000', 'signal': 'BUY'}, {'date': '04.05.2016', 'price': '176.5000', 'signal': 'SHORT'}, {'date': '02.05.2016', 'price': '174.5000', 'signal': 'BUY'}]
47307.ST;NORDIC LEISURE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;28.5;80.0;164;60.0;528;54.0;601;64.7;431;31;56.7;6.84;3.58;-2.16;-1.82;13.94;11.64;5.78;6.94;1.08;[{'date': '23.04.2018', 'price': '27.8500', 'signal': 'BUY'}, {'date': '18.04.2018', 'price': '26.8000', 'signal': 'SHORT'}, {'date': '13.04.2018', 'price': '26.0000', 'signal': 'BUY'}, {'date': '27.03.2018', 'price': '28.1000', 'signal': 'SELL'}, {'date': '23.03.2018', 'price': '28.9250', 'signal': 'BUY'}, {'date': '19.03.2018', 'price': '30.1000', 'signal': 'SELL'}, {'date': '06.03.2018', 'price': '26.9500', 'signal': 'BUY'}, {'date': '21.02.2018', 'price': '28.8000', 'signal': 'SHORT'}, {'date': '14.02.2018', 'price': '26.8000', 'signal': 'BUY'}, {'date': '31.01.2018', 'price': '29.0000', 'signal': 'SELL'}, {'date': '28.11.2017', 'price': '24.7000', 'signal': 'BUY'}, {'date': '24.11.2017', 'price': '23.5500', 'signal': 'SELL'}, {'date': '21.11.2017', 'price': '22.6000', 'signal': 'BUY'}, {'date': '08.11.2017', 'price': '23.9500', 'signal': 'SELL'}, {'date': '03.11.2017', 'price': '21.3000', 'signal': 'BUY'}, {'date': '01.11.2017', 'price': '20.6000', 'signal': 'SELL'}, {'date': '18.10.2017', 'price': '16.9000', 'signal': 'BUY'}, {'date': '13.10.2017', 'price': '16.9000', 'signal': 'SHORT'}, {'date': '11.10.2017', 'price': '16.7000', 'signal': 'BUY'}, {'date': '04.10.2017', 'price': '17.1000', 'signal': 'SELL'}, {'date': '29.09.2017', 'price': '17.5500', 'signal': 'BUY'}, {'date': '15.09.2017', 'price': '18.5500', 'signal': 'SELL'}, {'date': '06.09.2017', 'price': '15.4500', 'signal': 'BUY'}, {'date': '01.09.2017', 'price': '13.6500', 'signal': 'SELL'}, {'date': '02.08.2017', 'price': '7.5000', 'signal': 'BUY'}, {'date': '30.06.2017', 'price': '7.7000', 'signal': 'SELL'}, {'date': '20.06.2017', 'price': '6.9000', 'signal': 'BUY'}, {'date': '16.06.2017', 'price': '6.7500', 'signal': 'SELL'}, {'date': '01.06.2017', 'price': '5.8000', 'signal': 'BUY'}, {'date': '26.05.2017', 'price': '5.7500', 'signal': 'SELL'}, {'date': '17.05.2017', 'price': '5.8000', 'signal': 'BUY'}, {'date': '08.05.2017', 'price': '5.5750', 'signal': 'SELL'}, {'date': '04.05.2017', 'price': '5.6000', 'signal': 'BUY'}, {'date': '27.04.2017', 'price': '5.3400', 'signal': 'SELL'}, {'date': '24.04.2017', 'price': '5.4100', 'signal': 'BUY'}, {'date': '19.04.2017', 'price': '4.8600', 'signal': 'SHORT'}, {'date': '13.04.2017', 'price': '4.9500', 'signal': 'BUY'}, {'date': '03.04.2017', 'price': '5.0650', 'signal': 'SELL'}, {'date': '13.03.2017', 'price': '4.9900', 'signal': 'BUY'}, {'date': '22.02.2017', 'price': '5.7500', 'signal': 'SELL'}, {'date': '25.01.2017', 'price': '5.0600', 'signal': 'BUY'}, {'date': '23.01.2017', 'price': '4.9800', 'signal': 'SHORT'}, {'date': '13.01.2017', 'price': '5.0800', 'signal': 'BUY'}, {'date': '11.01.2017', 'price': '5.0900', 'signal': 'SELL'}, {'date': '02.01.2017', 'price': '5.1600', 'signal': 'BUY'}, {'date': '29.11.2016', 'price': '5.3500', 'signal': 'SHORT'}, {'date': '25.11.2016', 'price': '5.5500', 'signal': 'BUY'}, {'date': '15.11.2016', 'price': '5.7500', 'signal': 'SELL'}, {'date': '10.11.2016', 'price': '5.8000', 'signal': 'BUY'}, {'date': '25.10.2016', 'price': '5.8000', 'signal': 'SELL'}, {'date': '20.10.2016', 'price': '5.9500', 'signal': 'BUY'}, {'date': '07.10.2016', 'price': '5.8500', 'signal': 'SELL'}, {'date': '28.09.2016', 'price': '5.8000', 'signal': 'BUY'}, {'date': '12.09.2016', 'price': '5.5500', 'signal': 'SELL'}, {'date': '16.08.2016', 'price': '5.3800', 'signal': 'BUY'}, {'date': '09.08.2016', 'price': '5.2000', 'signal': 'SELL'}, {'date': '05.08.2016', 'price': '5.2000', 'signal': 'BUY'}, {'date': '20.07.2016', 'price': '5.1900', 'signal': 'SELL'}, {'date': '15.06.2016', 'price': '4.7150', 'signal': 'BUY'}, {'date': '01.06.2016', 'price': '5.2500', 'signal': 'SHORT'}, {'date': '23.05.2016', 'price': '5.7000', 'signal': 'BUY'}, {'date': '17.05.2016', 'price': '6.4000', 'signal': 'SELL'}, {'date': '26.04.2016', 'price': '5.7000', 'signal': 'BUY'}]
A1M.ST;A1M;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M.ST;4.7;58.3;211;57.1;248;58.4;659;57.9;372;38;52.6;8.38;4.09;-4.03;-3.2;9.86;4.9;1.05;3.26;7.53;[{'date': '20.04.2018', 'price': '4.3200', 'signal': 'SHORT'}, {'date': '13.04.2018', 'price': '4.0550', 'signal': 'BUY'}, {'date': '16.03.2018', 'price': '5.5300', 'signal': 'SHORT'}, {'date': '14.03.2018', 'price': '5.7000', 'signal': 'BUY'}, {'date': '07.03.2018', 'price': '6.0225', 'signal': 'SELL'}, {'date': '28.02.2018', 'price': '5.3661', 'signal': 'BUY'}, {'date': '21.02.2018', 'price': '5.2625', 'signal': 'SHORT'}, {'date': '19.02.2018', 'price': '5.4526', 'signal': 'BUY'}, {'date': '13.02.2018', 'price': '6.3209', 'signal': 'SHORT'}, {'date': '09.02.2018', 'price': '6.5976', 'signal': 'BUY'}, {'date': '01.02.2018', 'price': '10.0670', 'signal': 'SELL'}, {'date': '15.01.2018', 'price': '10.3868', 'signal': 'BUY'}, {'date': '09.01.2018', 'price': '10.5250', 'signal': 'SELL'}, {'date': '05.01.2018', 'price': '10.7324', 'signal': 'BUY'}, {'date': '29.12.2017', 'price': '9.5053', 'signal': 'SHORT'}, {'date': '27.12.2017', 'price': '9.1164', 'signal': 'BUY'}, {'date': '18.12.2017', 'price': '9.1165', 'signal': 'SHORT'}, {'date': '14.12.2017', 'price': '9.5917', 'signal': 'BUY'}, {'date': '07.12.2017', 'price': '11.5360', 'signal': 'SHORT'}, {'date': '04.12.2017', 'price': '10.9311', 'signal': 'BUY'}, {'date': '16.11.2017', 'price': '13.7827', 'signal': 'SELL'}, {'date': '08.11.2017', 'price': '12.7890', 'signal': 'BUY'}, {'date': '01.11.2017', 'price': '12.6161', 'signal': 'SELL'}, {'date': '25.10.2017', 'price': '9.3325', 'signal': 'BUY'}, {'date': '13.10.2017', 'price': '9.6781', 'signal': 'SELL'}, {'date': '06.10.2017', 'price': '8.6844', 'signal': 'BUY'}, {'date': '04.10.2017', 'price': '7.9499', 'signal': 'SHORT'}, {'date': '21.09.2017', 'price': '8.2740', 'signal': 'BUY'}, {'date': '22.08.2017', 'price': '9.4621', 'signal': 'SHORT'}, {'date': '18.08.2017', 'price': '9.7213', 'signal': 'BUY'}, {'date': '14.08.2017', 'price': '9.7213', 'signal': 'SHORT'}, {'date': '10.08.2017', 'price': '9.5701', 'signal': 'BUY'}, {'date': '07.08.2017', 'price': '9.4621', 'signal': 'SHORT'}, {'date': '01.08.2017', 'price': '9.7862', 'signal': 'BUY'}, {'date': '18.07.2017', 'price': '9.9806', 'signal': 'SELL'}, {'date': '13.07.2017', 'price': '9.8510', 'signal': 'BUY'}, {'date': '29.06.2017', 'price': '10.8447', 'signal': 'SELL'}, {'date': '19.06.2017', 'price': '9.5485', 'signal': 'BUY'}, {'date': '15.06.2017', 'price': '9.2892', 'signal': 'SHORT'}, {'date': '08.06.2017', 'price': '9.1164', 'signal': 'BUY'}, {'date': '11.05.2017', 'price': '12.1841', 'signal': 'SHORT'}, {'date': '09.05.2017', 'price': '14.6036', 'signal': 'BUY'}, {'date': '22.03.2017', 'price': '22.0287', 'signal': 'SELL'}, {'date': '08.03.2017', 'price': '13.6521', 'signal': 'BUY'}, {'date': '06.03.2017', 'price': '13.2621', 'signal': 'SELL'}, {'date': '24.02.2017', 'price': '11.9943', 'signal': 'BUY'}, {'date': '17.01.2017', 'price': '21.2583', 'signal': 'SHORT'}, {'date': '23.12.2016', 'price': '21.1120', 'signal': 'BUY'}, {'date': '19.12.2016', 'price': '21.9409', 'signal': 'SELL'}, {'date': '01.12.2016', 'price': '22.5260', 'signal': 'BUY'}, {'date': '28.11.2016', 'price': '21.1608', 'signal': 'SHORT'}, {'date': '24.11.2016', 'price': '21.7459', 'signal': 'BUY'}, {'date': '21.11.2016', 'price': '21.8434', 'signal': 'SHORT'}, {'date': '15.11.2016', 'price': '22.4285', 'signal': 'BUY'}, {'date': '01.11.2016', 'price': '24.2813', 'signal': 'SHORT'}, {'date': '28.10.2016', 'price': '23.9400', 'signal': 'BUY'}, {'date': '13.10.2016', 'price': '25.8903', 'signal': 'SHORT'}, {'date': '07.10.2016', 'price': '25.5490', 'signal': 'BUY'}, {'date': '12.09.2016', 'price': '27.4505', 'signal': 'SELL'}, {'date': '06.09.2016', 'price': '24.3788', 'signal': 'BUY'}, {'date': '26.08.2016', 'price': '24.4276', 'signal': 'SELL'}, {'date': '24.08.2016', 'price': '24.4763', 'signal': 'BUY'}, {'date': '12.08.2016', 'price': '24.0863', 'signal': 'SELL'}, {'date': '09.08.2016', 'price': '23.5011', 'signal': 'BUY'}, {'date': '28.07.2016', 'price': '23.0623', 'signal': 'SELL'}, {'date': '25.07.2016', 'price': '22.7210', 'signal': 'BUY'}, {'date': '18.07.2016', 'price': '21.0633', 'signal': 'SHORT'}, {'date': '13.07.2016', 'price': '21.2583', 'signal': 'BUY'}, {'date': '01.07.2016', 'price': '21.8434', 'signal': 'SHORT'}, {'date': '29.06.2016', 'price': '23.1111', 'signal': 'BUY'}, {'date': '17.06.2016', 'price': '21.8434', 'signal': 'SHORT'}, {'date': '15.06.2016', 'price': '23.5011', 'signal': 'BUY'}, {'date': '01.06.2016', 'price': '26.8167', 'signal': 'SHORT'}, {'date': '30.05.2016', 'price': '27.8893', 'signal': 'BUY'}, {'date': '20.05.2016', 'price': '32.5116', 'signal': 'SELL'}, {'date': '17.05.2016', 'price': '31.2633', 'signal': 'BUY'}, {'date': '02.05.2016', 'price': '33.3112', 'signal': 'SHORT'}]
AAC.ST;AAC MICROTEC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC.ST;7.16;62.5;192;66.7;616;58.3;513;62.5;440;17;41.2;10.7;5.49;-3.72;-2.73;30.34;20.27;6.79;10.36;1.94;[{'date': '23.04.2018', 'price': '7.1900', 'signal': 'SELL'}, {'date': '13.04.2018', 'price': '6.7400', 'signal': 'BUY'}, {'date': '09.04.2018', 'price': '6.6500', 'signal': 'SHORT'}, {'date': '05.04.2018', 'price': '6.6700', 'signal': 'BUY'}, {'date': '13.03.2018', 'price': '8.0500', 'signal': 'SHORT'}, {'date': '06.03.2018', 'price': '8.2600', 'signal': 'BUY'}, {'date': '28.02.2018', 'price': '8.7100', 'signal': 'SHORT'}, {'date': '15.02.2018', 'price': '9.0100', 'signal': 'BUY'}, {'date': '30.01.2018', 'price': '12.1800', 'signal': 'SELL'}, {'date': '26.01.2018', 'price': '13.0400', 'signal': 'BUY'}, {'date': '17.01.2018', 'price': '13.9400', 'signal': 'SELL'}, {'date': '21.12.2017', 'price': '8.7000', 'signal': 'BUY'}, {'date': '30.11.2017', 'price': '9.6000', 'signal': 'SHORT'}, {'date': '21.11.2017', 'price': '9.1000', 'signal': 'BUY'}, {'date': '09.11.2017', 'price': '10.3000', 'signal': 'SELL'}, {'date': '07.11.2017', 'price': '10.8750', 'signal': 'BUY'}, {'date': '03.11.2017', 'price': '10.9000', 'signal': 'SELL'}, {'date': '20.10.2017', 'price': '8.9000', 'signal': 'BUY'}, {'date': '27.09.2017', 'price': '9.1500', 'signal': 'SELL'}, {'date': '20.09.2017', 'price': '7.7500', 'signal': 'BUY'}, {'date': '18.09.2017', 'price': '7.0500', 'signal': 'SELL'}, {'date': '04.08.2017', 'price': '4.0300', 'signal': 'BUY'}, {'date': '07.07.2017', 'price': '4.6400', 'signal': 'SHORT'}, {'date': '05.07.2017', 'price': '4.7700', 'signal': 'BUY'}, {'date': '03.07.2017', 'price': '4.7800', 'signal': 'SHORT'}, {'date': '28.06.2017', 'price': '4.8900', 'signal': 'BUY'}, {'date': '07.06.2017', 'price': '5.9500', 'signal': 'SHORT'}, {'date': '01.06.2017', 'price': '5.9000', 'signal': 'BUY'}, {'date': '16.05.2017', 'price': '6.2000', 'signal': 'SHORT'}, {'date': '26.04.2017', 'price': '6.3500', 'signal': 'BUY'}, {'date': '19.04.2017', 'price': '6.3000', 'signal': 'SHORT'}, {'date': '10.04.2017', 'price': '6.7500', 'signal': 'BUY'}, {'date': '05.04.2017', 'price': '6.7500', 'signal': 'SHORT'}, {'date': '31.03.2017', 'price': '6.9000', 'signal': 'BUY'}, {'date': '13.03.2017', 'price': '8.4000', 'signal': 'SELL'}, {'date': '08.03.2017', 'price': '9.0000', 'signal': 'BUY'}]
